Borough Name,BIN Number,Permit Expiration Date,Permit Issuance Date,Permit Number,Permit Type,Permit Status,Job Number,Job Type,Horizontal Enlargement Flag,Vertical Enlargement Flag,Current Job Status Description,Total Construction Floor Area,Proposed Dwelling Units,Proposed Stories,Estimated Job Cost,Job Location Street Name,Block,Lot,Community Board,Applicant Business Name,Latitude Point,Longitude Point
Bronx,2007838,7/12/2022,9/20/2021,20109699101NB15,NB,Issued,201096991,NB,,,PERMIT ISSUED - PARTIAL JOB,37933.0,33,8,0.0,1527 MORRIS AVENUE  Bronx,2820,51,204,MICHAEL KARANTINIDIS P.E.,40.84197,-73.90989
Bronx,2095095,7/16/2022,7/7/2021,21007656701AL14,AL,Issued,210076567,A1,Y,Y,PERMIT ISSUED - ENTIRE JOB/WORK,0.0,0,1,2643062.0,3020 EASTCHESTER RD  Bronx,4766,41,212,ERROL MCINTOSH  PC,40.87008,-73.84258
Bronx,2821187,7/12/2022,9/20/2021,20079901001NB17,NB,Issued,200799010,NB,,,PERMIT ISSUED - PARTIAL JOB,7610.0,8,6,0.0,1537 MORRIS AVENUE  Bronx,2820,47,204,MICHAEL KARANTINIDIS PE,40.84225,-73.9099
BRONX,2001848,4/1/2022,12/8/2021,X00503539-S4-FN,,Permit Issued,X00503539-S4,Alteration CO,Yes,,Permit Entire,60804.0,0,4,3000.0,597 COURTLANDT AVENUE  BRONX,2410,44,201,COOK & KRUPA LLC,40.81766,-73.91932
BRONX,2007238,4/22/2022,11/5/2021,X00484772-S6-FN,,Permit Issued,X00484772-S6,Alteration CO,Yes,Yes,Permit Entire,10422.0,16,4,100.0,1441 TELLER AVENUE  BRONX,2784,17,204,SKYWARD DEVELOPERS INC,40.83833,-73.90919
BRONX,2007239,4/22/2022,11/18/2021,X00544115-S5-MS,,Permit Issued,X00544115-S5,Alteration CO,No,Yes,Permit Entire,9260.37,18,4,100.0,1437 TELLER AVENUE  BRONX,2784,18,204,SKYWARD DEVELOPERS INC,40.83824,-73.90923
BRONX,2007240,4/22/2022,11/4/2021,X00480829-S2-MS,,Permit Issued,X00480829-S2,Alteration CO,Yes,Yes,Permit Entire,10612.0,19,4,100.0,1433 TELLER AVENUE  BRONX,2784,20,204,SKYWARD DEVELOPERS INC,40.83816,-73.90926
BRONX,2007324,5/31/2022,12/27/2021,X00516005-S2-MS,,Permit Issued,X00516005-S2,New Building,,,Permit Entire,14676.0,17,6,2000.0,1701 CLAY AVENUE  BRONX,2790,49,204,RED BRICK PROPERTY MNGMT*,40.84428,-73.90518
BRONX,2008159,4/22/2022,11/23/2021,X00487406-S6-FN,,Permit Issued,X00487406-S6,New Building,,,Permit Entire,27081.0,35,7,100.0,1677 TOWNSEND AVENUE  BRONX,2848,24,205,SKYWARD DEVELOPERS INC,40.84594,-73.91278
BRONX,2008709,4/22/2022,1/14/2022,X00486240-S5-FN,,Permit Issued,X00486240-S5,Alteration CO,,Yes,Permit Entire,11477.0,20,4,1000.0,1476 JESUP AVENUE  BRONX,2872,302,204,SKYWARD DEVELOPERS INC,40.84286,-73.91913
BRONX,2012919,5/19/2022,1/14/2022,X00558942-I1-GC,,Permit Issued,X00558942-I1,Alteration CO,Yes,Yes,Permit Entire,7096.75,17,4,674215.0,2427 CROTONA AVENUE  BRONX,3105,47,206,ROCK BUILDERS INC,40.85492,-73.88341
BRONX,2017265,3/21/2022,10/28/2021,X00480196-I1-GC,,Permit Issued,X00480196-I1,New Building,,,Permit Entire,35043.0,42,8,1.0,243 EAST  202 STREET  BRONX,3308,104,207,BOLEX.GC CORP,40.87308,-73.88503
BRONX,2062088,3/28/2022,9/17/2021,X00514714-I1-GC-CX,,Permit Issued,X00514714-I1,Alteration CO,Yes,Yes,Permit Entire,3411.0,2,2,282270.0,1754 HAMMERSLEY AVENUE  BRONX,4774,3,212,RASHBI DEVELOPMENT INC,40.87225,-73.83952
BRONX,2072544,2/6/2022,10/15/2021,X00495057-I1-GC-CX,,Permit Issued,X00495057-I1,Alteration CO,Yes,No,Permit Entire,7052.0,0,2,85020.0,3524 ROMBOUTS AVENUE  BRONX,5274,40,212,DINACO CONTRACTING CORP,40.88442,-73.82974
BRONX,2075786,2/25/2022,11/2/2021,X00553386-S2-ST,,Permit Issued,X00553386-S2,Alteration CO,,Yes,Permit Entire,3252.0,1,2,61920.0,3220 MIDDLETOWN ROAD  BRONX,5411,331,210,COLONIAL MGMT ASSOCIATES,40.84684,-73.82322
BRONX,2080585,3/28/2022,12/8/2021,X00527244-I1-GC-CX,,Permit Issued,X00527244-I1,Alteration CO,Yes,Yes,Permit Entire,1472.0,2,2,417880.0,2842 SAMPSON AVENUE  BRONX,5578,86,210,RASHBI DEVELOPMENT INC,40.8196,-73.8199
BRONX,2126638,2/23/2022,12/14/2021,X00541811-I1-GC,,Permit Issued,X00541811-I1,New Building,,,Permit Entire,69299.0,73,7,6000000.0,1420 STEBBINS AVENUE  BRONX,2965,42,203,CITY WIDE BUILDERS GRP IN,40.83388,-73.89402
BRONX,2129435,9/27/2022,1/14/2022,X00570619-S3-SE,,Permit Issued,X00570619-S3,New Building,,,Permit Entire,37823.0,45,8,10000.0,2330 CAMBRELENG AVENUE  BRONX,3089,18,206,GLOBAL MANAGEMENT LLC,40.85337,-73.88553
BRONX,2130585,7/14/2022,9/2/2021,X00487269-I1-GC,,Permit Issued,X00487269-I1,New Building,,,Permit Entire,6946.0,13,4,2083800.0,577 EAST  161 STREET  BRONX,2620,53,203,BORI CONSTRUCTION CORP,40.82251,-73.90891
BRONX,2130657,12/30/2022,1/5/2022,X00491133-I1-GC,,Permit Issued,X00491133-I1,New Building,,,Permit Entire,10953.0,0,1,1.3E7,71 WEST  205 STREET  BRONX,3251,201,207,CONSIGLI CONSTRUCTION CO,40.87988,-73.88895
BRONX,2805199,3/1/2022,12/17/2021,X00513466-S5-FO-EA,,Permit Issued,X00513466-S5,New Building,,,Permit Entire,986360.0,0,5,1000.0,950 EAST 149 STREET  BRONX,2599,175,201,ARCO DESIGN/BUILD INDUSTR,40.80735,-73.90265
BRONX,2815391,5/31/2022,10/8/2021,X00487532-S3-FN,,Permit Issued,X00487532-S3,New Building,,,Permit Entire,15128.0,19,4,1000.0,3311 3 AVENUE  BRONX,2369,32,203,RED BRICK PROPERTY MNGMT,40.82605,-73.90792
BRONX,2831759,4/22/2022,10/14/2021,X00520867-S5-FN,,Permit Issued,X00520867-S5,New Building,,,Permit Entire,17428.0,18,4,1000.0,872 EAST  164 STREET  BRONX,2690,144,202,SKYWARD DEVELOPERS INC,40.82307,-73.89909
Brooklyn,3131378,5/28/2022,4/29/2021,30233443601AL13,AL,Issued,302334436,A1,,Y,PERMIT ISSUED - PARTIAL JOB,8381.0,2,3,80000.0,1513 59 STREET  Brooklyn,5502,72,312,Bricolage Designs,40.62667,-73.99291
Brooklyn,3150428,5/1/2022,5/14/2021,30176859401AL19,AL,Issued,301768594,A1,Y,,PERMIT ISSUED - ENTIRE JOB/WORK,8198.0,3,3,60000.0,590 78 STREET  Brooklyn,5971,50,310,ALFRED C. BARTOLOMEO  A.I.A.,40.62568,-74.02148
BROOKLYN,3000131,7/7/2022,1/20/2022,B00565465-S2-FO-EA,,Permit Issued,B00565465-S2,New Building,,,Permit Entire,45591.0,225,26,200.0,69 ADAMS STREET  BROOKLYN,52,4,302,GALAXY DEVELOPERS LLC,40.7021,-73.98833
BROOKLYN,3001108,7/1/2022,10/26/2021,B00485693-I1-GC,,Permit Issued,B00485693-I1,Alteration CO,Yes,,Permit Entire,5652.0,1,4,1098566.0,185 DEAN STREET  BROOKLYN,189,46,302,BURDA CONSTRUCTION CORP,40.68608,-73.98615
BROOKLYN,3001370,6/21/2022,1/18/2022,B00486067-S1-ST,,Permit Issued,B00486067-S1,Alteration CO,Yes,,Permit Issued,5433.0,2,4,85000.0,208 DEAN STREET  BROOKLYN,196,15,302,DOMINIQUE ARIES CONST LLC,40.68522,-73.98517
BROOKLYN,3003221,2/5/2022,12/20/2021,B00499182-I1-GC,,Permit Issued,B00499182-I1,Alteration CO,Yes,,Permit Entire,2858.0,1,3,974578.0,20 VERANDAH PLACE  BROOKLYN,301,12,306,M DADDIO INC,40.68815,-73.99666
BROOKLYN,3004898,4/20/2022,12/21/2021,B00543418-I1-GC-CX,,Permit Issued,B00543418-I1,Alteration CO,Yes,,Permit Entire,4335.0,2,4,653750.0,566 HENRY STREET  BROOKLYN,354,32,306,SCALI CONSTRUCTION INC,40.68178,-74.00081
BROOKLYN,3006533,5/16/2022,11/16/2021,B00520791-I1-MS,,Permit Issued,B00520791-I1,Alteration CO,Yes,,Permit Entire,3314.0,1,3,204100.0,23 DOUGLASS STREET  BROOKLYN,408,61,306,AIRITAN MANAGEMENT CORP,40.68433,-73.99401
BROOKLYN,3007883,6/5/2022,1/5/2022,B00564576-I1-GC,,Permit Issued,B00564576-I1,Alteration CO,Yes,Yes,Permit Entire,4576.0,1,3,250000.0,94 2 STREET  BROOKLYN,461,22,306,OLIWA CONSTRUCTION INC,40.67783,-73.99248
BROOKLYN,3018825,2/23/2022,1/13/2022,B00577625-S4-PL,,Permit Issued,B00577625-S4,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Issued,5108.0,4,4,90000.0,657 BALTIC STREET  BROOKLYN,937,52,306,L&J PLG & HTG CO OF NY IN,40.68003,-73.97884
BROOKLYN,3022999,2/23/2022,9/28/2021,B00532986-S2-FN,,Permit Issued,B00532986-S2,Alteration CO,Yes,,Permit Entire,1943.06,1,3,1840.0,442 11 STREET  BROOKLYN,1024,18,306,NICOLOSI BROS INC,40.66617,-73.9841
BROOKLYN,3023015,5/12/2022,1/6/2022,B00484976-I1-GC,,Permit Issued,B00484976-I1,Alteration CO,Yes,Yes,Permit Entire,3515.0,1,4,541310.0,476 11 STREET  BROOKLYN,1024,34,306,DNO EQUIPMENT AND DEVELOP,40.66575,-73.98324
BROOKLYN,3023137,1/22/2022,11/3/2021,B00552072-I1-GC-CX,,Permit Issued,B00552072-I1,Alteration CO,Yes,Yes,Permit Issued,3895.0,2,4,375060.0,226 12 STREET  BROOKLYN,1028,10,306,GOLDEN GATE BAPAZ CONSTRU,40.66812,-73.98988
BROOKLYN,3026553,3/19/2022,12/30/2021,B00485204-I1-GC,,Permit Issued,B00485204-I1,Alteration CO,Yes,,Permit Entire,3012.0,1,4,301200.0,481 14 STREET  BROOKLYN,1101,53,306,RAINBOW HOME IMPROVEMENT,40.66214,-73.97995
BROOKLYN,3026653,5/25/2022,11/8/2021,B00559983-I1-GC-CX,,Permit Issued,B00559983-I1,Alteration CO,,Yes,Permit Entire,3800.0,3,4,201200.0,395 16 STREET  BROOKLYN,1104,49,307,SAT CONSTRUCTION SERVICES,40.66194,-73.98303
BROOKLYN,3028046,4/1/2022,1/16/2022,B00481240-I1-GC,,Permit Issued,B00481240-I1,Alteration CO,Yes,Yes,Permit Entire,5727.0,1,2,675000.0,524 BERGEN STREET  BROOKLYN,1143,33,308,T. NOBLE & CO.  LLC,40.68014,-73.97302
BROOKLYN,3033743,2/25/2022,12/27/2021,B00514089-I1-GC,,Permit Issued,B00514089-I1,Alteration CO,,Yes,Permit Entire,5339.0,1,3,667375.0,1425 CARROLL STREET  BROOKLYN,1286,55,309,G BUILDERS MANAGEMENT INC,40.66687,-73.9404
BROOKLYN,3034036,4/1/2022,12/23/2021,B00566992-I1-GC-CX,,Permit Issued,B00566992-I1,Alteration CO,,Yes,Permit Entire,4918.0,1,3,430000.0,1432 CARROLL STREET  BROOKLYN,1293,28,309,ROGO BUILDERS INC,40.66638,-73.94099
BROOKLYN,3039063,10/17/2022,11/10/2021,B00503652-I1-GC,,Permit Issued,B00503652-I1,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,6185.0,8,4,804360.0,1517 ST MARKS AVENUE  BROOKLYN,1452,56,316,JCM PRO BUILDERS LLC,40.67371,-73.91727
BROOKLYN,3039636,9/15/2022,9/16/2021,B49569523-S7-PL,,Permit Issued,B00494983-S7,Alteration CO,Yes,,Permit Entire,3856.0,0,1,75000.0,1380 BROADWAY  BROOKLYN,1480,38,303,PROTO P&H SERVICES CORP,40.68898,-73.9219
BROOKLYN,3041000,8/26/2022,1/7/2022,B00482197-I1-GC,,Permit Issued,B00482197-I1,New Building,,,Permit Entire,7835.0,7,4,2178350.0,272 CHAUNCEY STREET  BROOKLYN,1513,11,303,99 CONSTRUCTION INC,40.68104,-73.92189
BROOKLYN,3046357,10/4/2022,11/5/2021,B00532251-I1-GC,,Permit Issued,B00532251-I1,Alteration CO,Yes,,Permit Entire,3680.0,2,3,109200.0,416 HALSEY STREET  BROOKLYN,1664,15,303,DFE CONTRACTOR LLC,40.683,-73.93741
